iri,illustration_count,asctb_count,shared_count,shared_ids
https://purl.humanatlas.io/2d-ftu/small-intestine-villus,15,19,15,CL:0000057;CL:0000097;CL:0000163;CL:0000186;CL:0000235;CL:0000236;CL:0000451;CL:0000584;CL:0000623;CL:0000771;CL:0000775;CL:0000786;CL:0001065;CL:0009080;CL:1000324
https://purl.humanatlas.io/2d-ftu/liver-liver-lobule,11,28,11,CL:0000075;CL:0000091;CL:0000182;CL:0000241;CL:0000632;CL:0002196;CL:0002543;CL:0009100;CL:0019018;CL:1000398;CL:1000413
https://purl.humanatlas.io/2d-ftu/mouth-parotid-gland,11,10,10,CL:0000097;CL:0000115;CL:0000136;CL:0000192;CL:0000235;CL:0000451;CL:0000669;CL:0000987;CL:4052048;CL:4052049
https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule,12,47,9,CL:0000071;CL:0000809;CL:0000882;CL:0000883;CL:0000942;CL:0001070;CL:0009070;CL:0009071;CL:0009077
https://purl.humanatlas.io/2d-ftu/mouth-submandibular-gland,10,9,9,CL:0000097;CL:0000115;CL:0000192;CL:0000235;CL:0000451;CL:0000669;CL:0000987;CL:4052048;CL:4052049
https://purl.humanatlas.io/2d-ftu/mouth-sublingual-gland,9,8,8,CL:0000097;CL:0000115;CL:0000192;CL:0000235;CL:0000451;CL:0000669;CL:0000987;CL:4052048
https://purl.humanatlas.io/2d-ftu/prostate-prostate-glandular-acinus,8,9,7,CL:0000359;CL:0000669;CL:0002340;CL:0002341;CL:1000299;CL:1000301;CL:1000487
https://purl.humanatlas.io/2d-ftu/spleen-white-pulp,9,33,7,CL:0000192;CL:0000442;CL:0000499;CL:0000876;CL:0000980;CL:1000489;CL:2000053
https://purl.humanatlas.io/2d-ftu/kidney-nephron,10,25,7,CL:1000768;CL:1000849;CL:1000850;CL:1001106;CL:1001107;CL:1001111;CL:4030009
https://purl.humanatlas.io/2d-ftu/lung-bronchial-submucosal-gland,6,6,6,CL:4033003;CL:4033005;CL:4033022;CL:4033023;CL:4033024;CL:4033055
https://purl.humanatlas.io/2d-ftu/skin-epidermal-ridge,5,7,5,CL:0000242;CL:0000646;CL:0000649;CL:0002457;CL:1000458
https://purl.humanatlas.io/2d-ftu/spleen-red-pulp,9,20,5,CL:0000037;CL:0000874;CL:0000980;CL:0001055;CL:0001056
https://purl.humanatlas.io/2d-ftu/pancreas-islets-langerhans,7,12,5,CL:0000169;CL:0000171;CL:0000173;CL:0000235;CL:0002275
https://purl.humanatlas.io/2d-ftu/lung-pulmonary-alveolus,6,7,5,CL:0002062;CL:0002063;CL:0009089;CL:4028002;CL:4028004
https://purl.humanatlas.io/2d-ftu/large-intestine-crypt-lieberkuhn,5,13,5,CL:0000165;CL:0002071;CL:0009016;CL:0019032;CL:1000321
https://purl.humanatlas.io/2d-ftu/kidney-renal-corpuscle,8,4,4,CL:0000653;CL:1000452;CL:1000742;CL:1001005
https://purl.humanatlas.io/2d-ftu/skin-hair-follicle,5,3,3,CL:0000317;CL:0002483;CL:0002562
https://purl.humanatlas.io/2d-ftu/pancreas-pancreatic-acinus,5,6,3,CL:0002064;CL:0002080;CL:1000322
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,2,5,2,CL:1001111;CL:1001285
https://purl.humanatlas.io/2d-ftu/kidney-outer-medullary-collecting-duct,3,2,2,CL:1000716;CL:1000717
https://purl.humanatlas.io/2d-ftu/kidney-cortical-collecting-duct,4,2,1,CL:1000714
https://purl.humanatlas.io/2d-ftu/kidney-thick-ascending-loop-of-henle,2,3,1,CL:1001106
https://purl.humanatlas.io/2d-ftu/kidney-inner-medullary-collecting-duct,2,1,1,CL:1000718
https://purl.humanatlas.io/2d-ftu/kidney-ascending-thin-loop-of-henle,2,1,1,CL:1001107
https://purl.humanatlas.io/2d-ftu/pancreas-intercalated-duct,2,3,1,CL:1001433
https://purl.humanatlas.io/2d-ftu/skin-dermal-papilla,2,0,0,
