,cell_id,cell_label,organ_id,ensembl_id,mean_expr_value
0,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000130300.9,5.059016227722168
1,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000169744.13,40.209354400634766
2,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000072163.20,4.431147575378418
3,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000150625.16,13.383241653442383
4,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000251322.9,3.6836063861846924
5,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000215386.13,24.393909454345703
6,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000148516.21,10.007331848144531
7,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000027075.15,7.280214786529541
8,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000134138.20,23.595352172851562
9,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000106991.14,5.208196640014648
10,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000150625.16,6.255328178405762
11,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000169744.13,18.656570434570312
12,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000215386.13,11.240324020385742
13,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000127329.15,3.454861879348755
14,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000038295.8,5.857142925262451
15,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000261371.6,3.2063496112823486
16,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000104368.18,2.912698745727539
17,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000249797.2,5.101586818695068
18,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000251322.9,1.6666669845581055
19,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000151702.17,2.0714290142059326
20,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000178695.6,1.25
21,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000275688.4,0.5833332538604736
22,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000238018.2,0.375
23,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000121858.11,0.75
24,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000159202.18,0.75
25,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000166260.13,0.5833330154418945
26,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000276409.5,0.45833325386047363
27,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000174640.15,0.75
28,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000236552.2,0.625
29,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000274736.5,1.0
30,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000169744.13,17.983192443847656
31,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000148516.21,4.415938377380371
32,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000160145.15,4.364785194396973
33,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000153317.15,3.982142925262451
34,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000249797.2,6.111791610717773
35,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000130300.9,2.095238447189331
36,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000162618.15,2.043290376663208
37,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000173482.17,7.170664310455322
38,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000106991.14,2.375
39,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000145819.18,4.238095760345459
40,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000169744.13,3.993243455886841
41,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000148516.21,0.7342342138290405
42,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000249797.2,1.0090090036392212
43,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000150625.16,0.9932432174682617
44,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000184005.11,1.3108108043670654
45,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000173482.17,1.5067569017410278
46,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000160145.15,0.8663569092750549
47,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000134138.20,1.279279351234436
48,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000120156.22,0.6216216087341309
49,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000153317.15,0.7770270109176636
50,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000169744.13,12.604453086853027
51,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000164035.10,7.395882606506348
52,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000133687.16,6.487735748291016
53,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000128512.23,7.2242841720581055
54,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000150625.16,6.256236553192139
55,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000184005.11,6.334527969360352
56,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000120156.22,3.1842105388641357
57,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000157554.19,3.2681498527526855
58,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000127329.15,2.945065498352051
59,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000156049.7,13.774170875549316
