organ_id,as_label,as_3d_id,as_id,as_volume,collision_percentage,x_value,y_value,z_value,dimension_units,x_translation,y_translation,z_translation,rotation_order,translation_units,FTU
http://purl.obolibrary.org/obo/UBERON_0002108,jejunum,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.2#VH_F_jejenum,http://purl.obolibrary.org/obo/UBERON_0002115,219923.15463438525,0.103,3,30,15,millimeter,130.806,111.09,54.023,XYZ,millimeter,Villus
http://purl.obolibrary.org/obo/UBERON_0000059,descending colon,https://purl.humanatlas.io/ref-organ/large-intestine-female/v1.3#VH_F_descending_colon,http://purl.obolibrary.org/obo/UBERON_0001158,512008.4585746418,0.883,20,50,5,millimeter,230.572,164.066,103.282,XYZ,millimeter,Crypt Of Lieberkuhn
http://purl.obolibrary.org/obo/UBERON_0002108,superior part of duodenum,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.2#VH_F_duodenum_superior,http://purl.org/sig/ont/fma/fma7206,63612.49526505053,0.003,3,30,15,millimeter,33.438,196.307,15.419,XYZ,millimeter,Villus
http://purl.obolibrary.org/obo/UBERON_0002108,descending part of duodenum,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.2#VH_F_duodenum_descending,http://purl.org/sig/ont/fma/fma14928,33368.576889409735,0.034,3,30,15,millimeter,33.438,196.307,15.419,XYZ,millimeter,Villus
http://purl.obolibrary.org/obo/UBERON_0002108,ascending part of duodenum,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.2#VH_F_duodenum_ascending,http://purl.org/sig/ont/fma/fma14930,19809.351193585786,0.004,3,30,15,millimeter,81.38,156.91,21.022,XYZ,millimeter,Villus
http://purl.obolibrary.org/obo/UBERON_0002108,horizontal part of duodenum,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.2#VH_F_duodenum_horizontal,http://purl.org/sig/ont/fma/fma14929,23484.077493829132,0.072,3,30,15,millimeter,81.38,156.91,21.022,XYZ,millimeter,Villus
http://purl.obolibrary.org/obo/UBERON_0000059,sigmoid colon,https://purl.humanatlas.io/ref-organ/large-intestine-female/v1.3#VH_F_sigmoid_colon,http://purl.obolibrary.org/obo/UBERON_0001159,281197.35928130575,0.052,20,50,5,millimeter,115.299,104.423,95.471,XYZ,millimeter,Crypt Of Lieberkuhn
http://purl.obolibrary.org/obo/UBERON_0002108,ileum,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.2#VH_F_ileum,http://purl.obolibrary.org/obo/UBERON_0002116,275872.5315060533,0.006,3,30,15,millimeter,28.29,54.564,44.255,XYZ,millimeter,Villus
http://purl.obolibrary.org/obo/UBERON_0002108,distal part of ileum,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.2#VH_F_ileum_terminal,http://purl.org/sig/ont/fma/fma14966,4128.801110026266,0.267,3,30,15,millimeter,28.29,54.564,44.255,XYZ,millimeter,Villus
http://purl.obolibrary.org/obo/UBERON_0002113,outer cortex of kidney,https://purl.humanatlas.io/ref-organ/kidney-female-left/v1.3#VH_F_outer_cortex_of_kidney_L,http://purl.obolibrary.org/obo/UBERON_0002189,132321.2564316647,0.9,1,10,1,millimeter,59.111,16.928,47.29,XYZ,millimeter,Nephron
