Organ,FTU Label in Uberon,FTU ID in Uberon,CL_ID,CL_Label_FTU,popv,celltypist_L1,celltypist_pkl,azimuth_L1,azimuth_L2,azimuth_L3,azimuth_L4,azimuth_L5
Large Intestine,Crypt Of Lieberkuhn,UBERON:0001984,CL:1000321,large intestine crypt goblet cell,False,False,False,False,False,False,False,False
Large Intestine,Crypt Of Lieberkuhn,UBERON:0001984,CL:0002071,enterocyte of epithelium of large intestine,True,False,False,False,False,False,False,False
Large Intestine,Crypt Of Lieberkuhn,UBERON:0001984,CL:0000165,neuroendocrine cell,False,False,False,False,False,False,False,False
Large Intestine,Crypt Of Lieberkuhn,UBERON:0001984,CL:0009016,intestinal crypt stem cell of large intestine,True,False,False,False,False,False,False,False
Large Intestine,Crypt Of Lieberkuhn,UBERON:0001984,CL:0019032,intestinal tuft cell,True,False,False,False,False,False,False,False
Liver,Liver Lobule,UBERON:0004647,CL:0009100,hepatic portal fibroblast,False,False,False,True,True,True,True,True
Liver,Liver Lobule,UBERON:0004647,CL:0019018,blood vessel smooth muscle cell,False,False,False,False,False,False,False,False
Liver,Liver Lobule,UBERON:0004647,CL:1000413,endothelial cell of artery,True,True,True,True,True,True,True,True
Liver,Liver Lobule,UBERON:0004647,CL:0000241,stratified cuboidal epithelial cell,False,False,False,False,False,False,False,False
Liver,Liver Lobule,UBERON:0004647,CL:0000075,columnar/cuboidal epithelial cell,False,False,False,False,False,False,False,False
Liver,Liver Lobule,UBERON:0004647,CL:0002543,vein endothelial cell,True,True,True,True,True,True,True,True
Liver,Liver Lobule,UBERON:0004647,CL:0002196,Hepatic oval stem cell,False,False,False,False,False,False,False,False
Liver,Liver Lobule,UBERON:0004647,CL:1000398,endothelial cell of hepatic sinusoid,True,False,False,True,True,True,True,True
Liver,Liver Lobule,UBERON:0004647,CL:0000632,hepatic stellate cell,False,True,True,True,True,True,True,True
Liver,Liver Lobule,UBERON:0004647,CL:0000091,Kupffer Cell,False,False,False,False,False,False,False,False
Liver,Liver Lobule,UBERON:0004647,CL:0000182,hepatocyte,True,True,True,True,True,True,True,True
Lung,Bronchial Submucosal Gland,UBERON:8410043,CL:4033055,airway submucosal gland duct ciliated cell,False,False,False,False,False,False,False,False
Lung,Bronchial Submucosal Gland,UBERON:8410043,CL:4033024,airway submucosal gland duct basal cell,False,False,False,False,False,False,False,False
Lung,Bronchial Submucosal Gland,UBERON:8410043,CL:4033022,mucus secreting cell of bronchus submucosal gland,False,True,True,True,True,True,True,True
Lung,Bronchial Submucosal Gland,UBERON:8410043,CL:4033023,airway submucosal gland collecting duct epithelial cell,False,True,True,True,True,True,True,True
Lung,Bronchial Submucosal Gland,UBERON:8410043,CL:4033005,serous secreting cell of bronchus submucosal gland,False,True,True,True,True,True,True,True
Lung,Bronchial Submucosal Gland,UBERON:8410043,CL:4033003,myoepithelial cell of bronchus submucosal gland,False,False,False,False,False,False,False,False
Lung,Alveolus of Lung,UBERON:0002299,CL:0002063,type II pneumocyte,True,True,True,True,True,True,True,True
