CT ID in CL,cell_id,cell_label,annotation_method,cell_source_label,sex,aggregated_summaries
CL:0009080,CL:0009080,intestinal tuft cell,popv,jejunum,Female,"['https://entity.api.hubmapconsortium.org/entities/3de525fe3e5718f297e8d62e037a042d', 'https://entity.api.hubmapconsortium.org/entities/69ede86e15f4c129ca8eff2bb9940b36']"
CL:0000057,CL:0000057,fibroblast,popv,jejunum,Female,"['https://entity.api.hubmapconsortium.org/entities/3de525fe3e5718f297e8d62e037a042d', 'https://entity.api.hubmapconsortium.org/entities/69ede86e15f4c129ca8eff2bb9940b36']"
CL:0000775,CL:0000775,neutrophil,popv,jejunum,Female,"['https://entity.api.hubmapconsortium.org/entities/3de525fe3e5718f297e8d62e037a042d', 'https://entity.api.hubmapconsortium.org/entities/69ede86e15f4c129ca8eff2bb9940b36']"
CL:0000775,CL:0000775,neutrophil,popv,jejunum,Female,"['https://entity.api.hubmapconsortium.org/entities/3de525fe3e5718f297e8d62e037a042d', 'https://entity.api.hubmapconsortium.org/entities/69ede86e15f4c129ca8eff2bb9940b36']"
CL:0000097,CL:0000097,mast cell,popv,jejunum,Female,"['https://entity.api.hubmapconsortium.org/entities/3de525fe3e5718f297e8d62e037a042d', 'https://entity.api.hubmapconsortium.org/entities/69ede86e15f4c129ca8eff2bb9940b36']"
CL:0000786,CL:0000786,plasma cell,popv,jejunum,Female,"['https://entity.api.hubmapconsortium.org/entities/3de525fe3e5718f297e8d62e037a042d', 'https://entity.api.hubmapconsortium.org/entities/69ede86e15f4c129ca8eff2bb9940b36']"
CL:0002071,CL:0002071,enterocyte of epithelium of large intestine,popv,descending colon,Female,"['https://entity.api.hubmapconsortium.org/entities/7edbff53248f2a2c8e74f5f955681734', 'https://entity.api.hubmapconsortium.org/entities/9b03c4c79ef7bcd1e8992cd50ed3f482', 'https://entity.api.hubmapconsortium.org/entities/277152f17b5a2f308820ab4d85c5a426', 'https://entity.api.hubmapconsortium.org/entities/a5729f859fc944c76f77fc74a1710e3b']"
CL:0000057,CL:0000057,fibroblast,popv,descending colon,Female,"['https://entity.api.hubmapconsortium.org/entities/7edbff53248f2a2c8e74f5f955681734', 'https://entity.api.hubmapconsortium.org/entities/9b03c4c79ef7bcd1e8992cd50ed3f482', 'https://entity.api.hubmapconsortium.org/entities/277152f17b5a2f308820ab4d85c5a426', 'https://entity.api.hubmapconsortium.org/entities/a5729f859fc944c76f77fc74a1710e3b']"
CL:0019032,CL:0019032,intestinal tuft cell,popv,descending colon,Female,"['https://entity.api.hubmapconsortium.org/entities/7edbff53248f2a2c8e74f5f955681734', 'https://entity.api.hubmapconsortium.org/entities/9b03c4c79ef7bcd1e8992cd50ed3f482', 'https://entity.api.hubmapconsortium.org/entities/277152f17b5a2f308820ab4d85c5a426', 'https://entity.api.hubmapconsortium.org/entities/a5729f859fc944c76f77fc74a1710e3b']"
CL:0019032,CL:0019032,intestinal tuft cell,popv,descending colon,Female,"['https://entity.api.hubmapconsortium.org/entities/7edbff53248f2a2c8e74f5f955681734', 'https://entity.api.hubmapconsortium.org/entities/9b03c4c79ef7bcd1e8992cd50ed3f482', 'https://entity.api.hubmapconsortium.org/entities/277152f17b5a2f308820ab4d85c5a426', 'https://entity.api.hubmapconsortium.org/entities/a5729f859fc944c76f77fc74a1710e3b']"
CL:0000786,CL:0000786,plasma cell,popv,descending colon,Female,"['https://entity.api.hubmapconsortium.org/entities/7edbff53248f2a2c8e74f5f955681734', 'https://entity.api.hubmapconsortium.org/entities/9b03c4c79ef7bcd1e8992cd50ed3f482', 'https://entity.api.hubmapconsortium.org/entities/277152f17b5a2f308820ab4d85c5a426', 'https://entity.api.hubmapconsortium.org/entities/a5729f859fc944c76f77fc74a1710e3b']"
CL:0000236,CL:0000236,B cell,popv,descending colon,Female,"['https://entity.api.hubmapconsortium.org/entities/7edbff53248f2a2c8e74f5f955681734', 'https://entity.api.hubmapconsortium.org/entities/9b03c4c79ef7bcd1e8992cd50ed3f482', 'https://entity.api.hubmapconsortium.org/entities/277152f17b5a2f308820ab4d85c5a426', 'https://entity.api.hubmapconsortium.org/entities/a5729f859fc944c76f77fc74a1710e3b']"
CL:0000775,CL:0000775,neutrophil,popv,descending colon,Female,"['https://entity.api.hubmapconsortium.org/entities/7edbff53248f2a2c8e74f5f955681734', 'https://entity.api.hubmapconsortium.org/entities/9b03c4c79ef7bcd1e8992cd50ed3f482', 'https://entity.api.hubmapconsortium.org/entities/277152f17b5a2f308820ab4d85c5a426', 'https://entity.api.hubmapconsortium.org/entities/a5729f859fc944c76f77fc74a1710e3b']"
CL:0000775,CL:0000775,neutrophil,popv,descending colon,Female,"['https://entity.api.hubmapconsortium.org/entities/7edbff53248f2a2c8e74f5f955681734', 'https://entity.api.hubmapconsortium.org/entities/9b03c4c79ef7bcd1e8992cd50ed3f482', 'https://entity.api.hubmapconsortium.org/entities/277152f17b5a2f308820ab4d85c5a426', 'https://entity.api.hubmapconsortium.org/entities/a5729f859fc944c76f77fc74a1710e3b']"
CL:0000097,CL:0000097,mast cell,popv,descending colon,Female,"['https://entity.api.hubmapconsortium.org/entities/7edbff53248f2a2c8e74f5f955681734', 'https://entity.api.hubmapconsortium.org/entities/9b03c4c79ef7bcd1e8992cd50ed3f482', 'https://entity.api.hubmapconsortium.org/entities/277152f17b5a2f308820ab4d85c5a426', 'https://entity.api.hubmapconsortium.org/entities/a5729f859fc944c76f77fc74a1710e3b']"
CL:0000057,CL:0000057,fibroblast,popv,superior part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/11678046b4e78f95762acc47d3074dc5', 'https://entity.api.hubmapconsortium.org/entities/a24771788dc2d572e267badeb701161d', 'https://entity.api.hubmapconsortium.org/entities/ec9405ca3fa9c22273927f0d57c8cc97', 'https://entity.api.hubmapconsortium.org/entities/c3e09a5698adbd3308d75c91eb7ff802']"
CL:0009080,CL:0009080,intestinal tuft cell,popv,superior part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/11678046b4e78f95762acc47d3074dc5', 'https://entity.api.hubmapconsortium.org/entities/a24771788dc2d572e267badeb701161d', 'https://entity.api.hubmapconsortium.org/entities/ec9405ca3fa9c22273927f0d57c8cc97', 'https://entity.api.hubmapconsortium.org/entities/c3e09a5698adbd3308d75c91eb7ff802']"
CL:0000775,CL:0000775,neutrophil,popv,superior part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/11678046b4e78f95762acc47d3074dc5', 'https://entity.api.hubmapconsortium.org/entities/a24771788dc2d572e267badeb701161d', 'https://entity.api.hubmapconsortium.org/entities/ec9405ca3fa9c22273927f0d57c8cc97', 'https://entity.api.hubmapconsortium.org/entities/c3e09a5698adbd3308d75c91eb7ff802']"
CL:0000775,CL:0000775,neutrophil,popv,superior part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/11678046b4e78f95762acc47d3074dc5', 'https://entity.api.hubmapconsortium.org/entities/a24771788dc2d572e267badeb701161d', 'https://entity.api.hubmapconsortium.org/entities/ec9405ca3fa9c22273927f0d57c8cc97', 'https://entity.api.hubmapconsortium.org/entities/c3e09a5698adbd3308d75c91eb7ff802']"
CL:0000097,CL:0000097,mast cell,popv,superior part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/11678046b4e78f95762acc47d3074dc5', 'https://entity.api.hubmapconsortium.org/entities/a24771788dc2d572e267badeb701161d', 'https://entity.api.hubmapconsortium.org/entities/ec9405ca3fa9c22273927f0d57c8cc97', 'https://entity.api.hubmapconsortium.org/entities/c3e09a5698adbd3308d75c91eb7ff802']"
