CT ID in CL,cell_id,cell_label,annotation_method,cell_source_label,sex,aggregated_summaries
CL:0000786,CL:0000786,plasma cell,popv,superior part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/11678046b4e78f95762acc47d3074dc5', 'https://entity.api.hubmapconsortium.org/entities/a24771788dc2d572e267badeb701161d', 'https://entity.api.hubmapconsortium.org/entities/ec9405ca3fa9c22273927f0d57c8cc97', 'https://entity.api.hubmapconsortium.org/entities/c3e09a5698adbd3308d75c91eb7ff802']"
CL:0000236,CL:0000236,B cell,popv,superior part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/11678046b4e78f95762acc47d3074dc5', 'https://entity.api.hubmapconsortium.org/entities/a24771788dc2d572e267badeb701161d', 'https://entity.api.hubmapconsortium.org/entities/ec9405ca3fa9c22273927f0d57c8cc97', 'https://entity.api.hubmapconsortium.org/entities/c3e09a5698adbd3308d75c91eb7ff802']"
CL:0000057,CL:0000057,fibroblast,popv,descending part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/11678046b4e78f95762acc47d3074dc5', 'https://entity.api.hubmapconsortium.org/entities/a24771788dc2d572e267badeb701161d', 'https://entity.api.hubmapconsortium.org/entities/ec9405ca3fa9c22273927f0d57c8cc97', 'https://entity.api.hubmapconsortium.org/entities/c3e09a5698adbd3308d75c91eb7ff802']"
CL:0009080,CL:0009080,intestinal tuft cell,popv,descending part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/11678046b4e78f95762acc47d3074dc5', 'https://entity.api.hubmapconsortium.org/entities/a24771788dc2d572e267badeb701161d', 'https://entity.api.hubmapconsortium.org/entities/ec9405ca3fa9c22273927f0d57c8cc97', 'https://entity.api.hubmapconsortium.org/entities/c3e09a5698adbd3308d75c91eb7ff802']"
CL:0000775,CL:0000775,neutrophil,popv,descending part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/11678046b4e78f95762acc47d3074dc5', 'https://entity.api.hubmapconsortium.org/entities/a24771788dc2d572e267badeb701161d', 'https://entity.api.hubmapconsortium.org/entities/ec9405ca3fa9c22273927f0d57c8cc97', 'https://entity.api.hubmapconsortium.org/entities/c3e09a5698adbd3308d75c91eb7ff802']"
CL:0000775,CL:0000775,neutrophil,popv,descending part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/11678046b4e78f95762acc47d3074dc5', 'https://entity.api.hubmapconsortium.org/entities/a24771788dc2d572e267badeb701161d', 'https://entity.api.hubmapconsortium.org/entities/ec9405ca3fa9c22273927f0d57c8cc97', 'https://entity.api.hubmapconsortium.org/entities/c3e09a5698adbd3308d75c91eb7ff802']"
CL:0000097,CL:0000097,mast cell,popv,descending part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/11678046b4e78f95762acc47d3074dc5', 'https://entity.api.hubmapconsortium.org/entities/a24771788dc2d572e267badeb701161d', 'https://entity.api.hubmapconsortium.org/entities/ec9405ca3fa9c22273927f0d57c8cc97', 'https://entity.api.hubmapconsortium.org/entities/c3e09a5698adbd3308d75c91eb7ff802']"
CL:0000786,CL:0000786,plasma cell,popv,descending part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/11678046b4e78f95762acc47d3074dc5', 'https://entity.api.hubmapconsortium.org/entities/a24771788dc2d572e267badeb701161d', 'https://entity.api.hubmapconsortium.org/entities/ec9405ca3fa9c22273927f0d57c8cc97', 'https://entity.api.hubmapconsortium.org/entities/c3e09a5698adbd3308d75c91eb7ff802']"
CL:0000236,CL:0000236,B cell,popv,descending part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/11678046b4e78f95762acc47d3074dc5', 'https://entity.api.hubmapconsortium.org/entities/a24771788dc2d572e267badeb701161d', 'https://entity.api.hubmapconsortium.org/entities/ec9405ca3fa9c22273927f0d57c8cc97', 'https://entity.api.hubmapconsortium.org/entities/c3e09a5698adbd3308d75c91eb7ff802']"
CL:0009080,CL:0009080,intestinal tuft cell,popv,ascending part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/f6eb890063d13698feb11d39fa61e45a', 'https://entity.api.hubmapconsortium.org/entities/0910bfd40695181a73e5059909e46cda', 'https://entity.api.hubmapconsortium.org/entities/8c1ad4c380ae5477d0b7875fa47e867e']"
CL:0000057,CL:0000057,fibroblast,popv,ascending part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/f6eb890063d13698feb11d39fa61e45a', 'https://entity.api.hubmapconsortium.org/entities/0910bfd40695181a73e5059909e46cda', 'https://entity.api.hubmapconsortium.org/entities/8c1ad4c380ae5477d0b7875fa47e867e']"
CL:0000775,CL:0000775,neutrophil,popv,ascending part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/f6eb890063d13698feb11d39fa61e45a', 'https://entity.api.hubmapconsortium.org/entities/0910bfd40695181a73e5059909e46cda', 'https://entity.api.hubmapconsortium.org/entities/8c1ad4c380ae5477d0b7875fa47e867e']"
CL:0000775,CL:0000775,neutrophil,popv,ascending part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/f6eb890063d13698feb11d39fa61e45a', 'https://entity.api.hubmapconsortium.org/entities/0910bfd40695181a73e5059909e46cda', 'https://entity.api.hubmapconsortium.org/entities/8c1ad4c380ae5477d0b7875fa47e867e']"
CL:0000786,CL:0000786,plasma cell,popv,ascending part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/f6eb890063d13698feb11d39fa61e45a', 'https://entity.api.hubmapconsortium.org/entities/0910bfd40695181a73e5059909e46cda', 'https://entity.api.hubmapconsortium.org/entities/8c1ad4c380ae5477d0b7875fa47e867e']"
CL:0000097,CL:0000097,mast cell,popv,ascending part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/f6eb890063d13698feb11d39fa61e45a', 'https://entity.api.hubmapconsortium.org/entities/0910bfd40695181a73e5059909e46cda', 'https://entity.api.hubmapconsortium.org/entities/8c1ad4c380ae5477d0b7875fa47e867e']"
CL:0000236,CL:0000236,B cell,popv,ascending part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/f6eb890063d13698feb11d39fa61e45a', 'https://entity.api.hubmapconsortium.org/entities/0910bfd40695181a73e5059909e46cda', 'https://entity.api.hubmapconsortium.org/entities/8c1ad4c380ae5477d0b7875fa47e867e']"
CL:0009080,CL:0009080,intestinal tuft cell,popv,horizontal part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/f6eb890063d13698feb11d39fa61e45a', 'https://entity.api.hubmapconsortium.org/entities/0910bfd40695181a73e5059909e46cda', 'https://entity.api.hubmapconsortium.org/entities/8c1ad4c380ae5477d0b7875fa47e867e']"
CL:0000057,CL:0000057,fibroblast,popv,horizontal part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/f6eb890063d13698feb11d39fa61e45a', 'https://entity.api.hubmapconsortium.org/entities/0910bfd40695181a73e5059909e46cda', 'https://entity.api.hubmapconsortium.org/entities/8c1ad4c380ae5477d0b7875fa47e867e']"
CL:0000775,CL:0000775,neutrophil,popv,horizontal part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/f6eb890063d13698feb11d39fa61e45a', 'https://entity.api.hubmapconsortium.org/entities/0910bfd40695181a73e5059909e46cda', 'https://entity.api.hubmapconsortium.org/entities/8c1ad4c380ae5477d0b7875fa47e867e']"
CL:0000775,CL:0000775,neutrophil,popv,horizontal part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/f6eb890063d13698feb11d39fa61e45a', 'https://entity.api.hubmapconsortium.org/entities/0910bfd40695181a73e5059909e46cda', 'https://entity.api.hubmapconsortium.org/entities/8c1ad4c380ae5477d0b7875fa47e867e']"
CL:0000786,CL:0000786,plasma cell,popv,horizontal part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/f6eb890063d13698feb11d39fa61e45a', 'https://entity.api.hubmapconsortium.org/entities/0910bfd40695181a73e5059909e46cda', 'https://entity.api.hubmapconsortium.org/entities/8c1ad4c380ae5477d0b7875fa47e867e']"
CL:0000097,CL:0000097,mast cell,popv,horizontal part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/f6eb890063d13698feb11d39fa61e45a', 'https://entity.api.hubmapconsortium.org/entities/0910bfd40695181a73e5059909e46cda', 'https://entity.api.hubmapconsortium.org/entities/8c1ad4c380ae5477d0b7875fa47e867e']"
CL:0000236,CL:0000236,B cell,popv,horizontal part of duodenum,Female,"['https://entity.api.hubmapconsortium.org/entities/f6eb890063d13698feb11d39fa61e45a', 'https://entity.api.hubmapconsortium.org/entities/0910bfd40695181a73e5059909e46cda', 'https://entity.api.hubmapconsortium.org/entities/8c1ad4c380ae5477d0b7875fa47e867e']"
CL:0002071,CL:0002071,enterocyte of epithelium of large intestine,popv,sigmoid colon,Female,"['https://entity.api.hubmapconsortium.org/entities/061b6c8f8e76f9be125f0f93e7734642', 'https://entity.api.hubmapconsortium.org/entities/67d7b5a3fb4f64a1f714d4369fdedc16', 'https://entity.api.hubmapconsortium.org/entities/846e56ed969922f1cb7a81619b175620', 'https://entity.api.hubmapconsortium.org/entities/be9a0e3119ea00dc156eff7ca346f46e']"
CL:0000057,CL:0000057,fibroblast,popv,sigmoid colon,Female,"['https://entity.api.hubmapconsortium.org/entities/061b6c8f8e76f9be125f0f93e7734642', 'https://entity.api.hubmapconsortium.org/entities/67d7b5a3fb4f64a1f714d4369fdedc16', 'https://entity.api.hubmapconsortium.org/entities/846e56ed969922f1cb7a81619b175620', 'https://entity.api.hubmapconsortium.org/entities/be9a0e3119ea00dc156eff7ca346f46e']"
CL:0019032,CL:0019032,intestinal tuft cell,popv,sigmoid colon,Female,"['https://entity.api.hubmapconsortium.org/entities/061b6c8f8e76f9be125f0f93e7734642', 'https://entity.api.hubmapconsortium.org/entities/67d7b5a3fb4f64a1f714d4369fdedc16', 'https://entity.api.hubmapconsortium.org/entities/846e56ed969922f1cb7a81619b175620', 'https://entity.api.hubmapconsortium.org/entities/be9a0e3119ea00dc156eff7ca346f46e']"
CL:0019032,CL:0019032,intestinal tuft cell,popv,sigmoid colon,Female,"['https://entity.api.hubmapconsortium.org/entities/061b6c8f8e76f9be125f0f93e7734642', 'https://entity.api.hubmapconsortium.org/entities/67d7b5a3fb4f64a1f714d4369fdedc16', 'https://entity.api.hubmapconsortium.org/entities/846e56ed969922f1cb7a81619b175620', 'https://entity.api.hubmapconsortium.org/entities/be9a0e3119ea00dc156eff7ca346f46e']"
CL:0000236,CL:0000236,B cell,popv,sigmoid colon,Female,"['https://entity.api.hubmapconsortium.org/entities/061b6c8f8e76f9be125f0f93e7734642', 'https://entity.api.hubmapconsortium.org/entities/67d7b5a3fb4f64a1f714d4369fdedc16', 'https://entity.api.hubmapconsortium.org/entities/846e56ed969922f1cb7a81619b175620', 'https://entity.api.hubmapconsortium.org/entities/be9a0e3119ea00dc156eff7ca346f46e']"
CL:0000775,CL:0000775,neutrophil,popv,sigmoid colon,Female,"['https://entity.api.hubmapconsortium.org/entities/061b6c8f8e76f9be125f0f93e7734642', 'https://entity.api.hubmapconsortium.org/entities/67d7b5a3fb4f64a1f714d4369fdedc16', 'https://entity.api.hubmapconsortium.org/entities/846e56ed969922f1cb7a81619b175620', 'https://entity.api.hubmapconsortium.org/entities/be9a0e3119ea00dc156eff7ca346f46e']"
CL:0000775,CL:0000775,neutrophil,popv,sigmoid colon,Female,"['https://entity.api.hubmapconsortium.org/entities/061b6c8f8e76f9be125f0f93e7734642', 'https://entity.api.hubmapconsortium.org/entities/67d7b5a3fb4f64a1f714d4369fdedc16', 'https://entity.api.hubmapconsortium.org/entities/846e56ed969922f1cb7a81619b175620', 'https://entity.api.hubmapconsortium.org/entities/be9a0e3119ea00dc156eff7ca346f46e']"
CL:0000786,CL:0000786,plasma cell,popv,sigmoid colon,Female,"['https://entity.api.hubmapconsortium.org/entities/061b6c8f8e76f9be125f0f93e7734642', 'https://entity.api.hubmapconsortium.org/entities/67d7b5a3fb4f64a1f714d4369fdedc16', 'https://entity.api.hubmapconsortium.org/entities/846e56ed969922f1cb7a81619b175620', 'https://entity.api.hubmapconsortium.org/entities/be9a0e3119ea00dc156eff7ca346f46e']"
CL:0000097,CL:0000097,mast cell,popv,sigmoid colon,Female,"['https://entity.api.hubmapconsortium.org/entities/061b6c8f8e76f9be125f0f93e7734642', 'https://entity.api.hubmapconsortium.org/entities/67d7b5a3fb4f64a1f714d4369fdedc16', 'https://entity.api.hubmapconsortium.org/entities/846e56ed969922f1cb7a81619b175620', 'https://entity.api.hubmapconsortium.org/entities/be9a0e3119ea00dc156eff7ca346f46e']"
CL:0009016,CL:0009016,intestinal crypt stem cell of large intestine,popv,sigmoid colon,Female,"['https://entity.api.hubmapconsortium.org/entities/061b6c8f8e76f9be125f0f93e7734642', 'https://entity.api.hubmapconsortium.org/entities/67d7b5a3fb4f64a1f714d4369fdedc16', 'https://entity.api.hubmapconsortium.org/entities/846e56ed969922f1cb7a81619b175620', 'https://entity.api.hubmapconsortium.org/entities/be9a0e3119ea00dc156eff7ca346f46e']"
CL:0000236,CL:0000236,B cell,popv,distal part of ileum,Female,"['https://entity.api.hubmapconsortium.org/entities/4fd71a24a7a81141700b26e9a9890172', 'https://entity.api.hubmapconsortium.org/entities/4c4a3047474bf43ea46ca99157c460e1', 'https://entity.api.hubmapconsortium.org/entities/8a5592389339a77ce7697f516aa721fe']"
CL:0000775,CL:0000775,neutrophil,popv,distal part of ileum,Female,"['https://entity.api.hubmapconsortium.org/entities/4fd71a24a7a81141700b26e9a9890172', 'https://entity.api.hubmapconsortium.org/entities/4c4a3047474bf43ea46ca99157c460e1', 'https://entity.api.hubmapconsortium.org/entities/8a5592389339a77ce7697f516aa721fe']"
CL:0000775,CL:0000775,neutrophil,popv,distal part of ileum,Female,"['https://entity.api.hubmapconsortium.org/entities/4fd71a24a7a81141700b26e9a9890172', 'https://entity.api.hubmapconsortium.org/entities/4c4a3047474bf43ea46ca99157c460e1', 'https://entity.api.hubmapconsortium.org/entities/8a5592389339a77ce7697f516aa721fe']"
CL:0000097,CL:0000097,mast cell,popv,distal part of ileum,Female,"['https://entity.api.hubmapconsortium.org/entities/4fd71a24a7a81141700b26e9a9890172', 'https://entity.api.hubmapconsortium.org/entities/4c4a3047474bf43ea46ca99157c460e1', 'https://entity.api.hubmapconsortium.org/entities/8a5592389339a77ce7697f516aa721fe']"
CL:0009080,CL:0009080,intestinal tuft cell,popv,distal part of ileum,Female,"['https://entity.api.hubmapconsortium.org/entities/4fd71a24a7a81141700b26e9a9890172', 'https://entity.api.hubmapconsortium.org/entities/4c4a3047474bf43ea46ca99157c460e1', 'https://entity.api.hubmapconsortium.org/entities/8a5592389339a77ce7697f516aa721fe']"
CL:0000057,CL:0000057,fibroblast,popv,distal part of ileum,Female,"['https://entity.api.hubmapconsortium.org/entities/4fd71a24a7a81141700b26e9a9890172', 'https://entity.api.hubmapconsortium.org/entities/4c4a3047474bf43ea46ca99157c460e1', 'https://entity.api.hubmapconsortium.org/entities/8a5592389339a77ce7697f516aa721fe']"
CL:0000786,CL:0000786,plasma cell,popv,distal part of ileum,Female,"['https://entity.api.hubmapconsortium.org/entities/4fd71a24a7a81141700b26e9a9890172', 'https://entity.api.hubmapconsortium.org/entities/4c4a3047474bf43ea46ca99157c460e1', 'https://entity.api.hubmapconsortium.org/entities/8a5592389339a77ce7697f516aa721fe']"
CL:0000236,CL:0000236,B cell,popv,ileum,Female,"['https://entity.api.hubmapconsortium.org/entities/4fd71a24a7a81141700b26e9a9890172', 'https://entity.api.hubmapconsortium.org/entities/4c4a3047474bf43ea46ca99157c460e1', 'https://entity.api.hubmapconsortium.org/entities/8a5592389339a77ce7697f516aa721fe']"
CL:0000775,CL:0000775,neutrophil,popv,ileum,Female,"['https://entity.api.hubmapconsortium.org/entities/4fd71a24a7a81141700b26e9a9890172', 'https://entity.api.hubmapconsortium.org/entities/4c4a3047474bf43ea46ca99157c460e1', 'https://entity.api.hubmapconsortium.org/entities/8a5592389339a77ce7697f516aa721fe']"
CL:0000775,CL:0000775,neutrophil,popv,ileum,Female,"['https://entity.api.hubmapconsortium.org/entities/4fd71a24a7a81141700b26e9a9890172', 'https://entity.api.hubmapconsortium.org/entities/4c4a3047474bf43ea46ca99157c460e1', 'https://entity.api.hubmapconsortium.org/entities/8a5592389339a77ce7697f516aa721fe']"
CL:0000097,CL:0000097,mast cell,popv,ileum,Female,"['https://entity.api.hubmapconsortium.org/entities/4fd71a24a7a81141700b26e9a9890172', 'https://entity.api.hubmapconsortium.org/entities/4c4a3047474bf43ea46ca99157c460e1', 'https://entity.api.hubmapconsortium.org/entities/8a5592389339a77ce7697f516aa721fe']"
CL:0009080,CL:0009080,intestinal tuft cell,popv,ileum,Female,"['https://entity.api.hubmapconsortium.org/entities/4fd71a24a7a81141700b26e9a9890172', 'https://entity.api.hubmapconsortium.org/entities/4c4a3047474bf43ea46ca99157c460e1', 'https://entity.api.hubmapconsortium.org/entities/8a5592389339a77ce7697f516aa721fe']"
CL:0000057,CL:0000057,fibroblast,popv,ileum,Female,"['https://entity.api.hubmapconsortium.org/entities/4fd71a24a7a81141700b26e9a9890172', 'https://entity.api.hubmapconsortium.org/entities/4c4a3047474bf43ea46ca99157c460e1', 'https://entity.api.hubmapconsortium.org/entities/8a5592389339a77ce7697f516aa721fe']"
CL:0000786,CL:0000786,plasma cell,popv,ileum,Female,"['https://entity.api.hubmapconsortium.org/entities/4fd71a24a7a81141700b26e9a9890172', 'https://entity.api.hubmapconsortium.org/entities/4c4a3047474bf43ea46ca99157c460e1', 'https://entity.api.hubmapconsortium.org/entities/8a5592389339a77ce7697f516aa721fe']"
