Organ,Cell Types
Kidney,"['kidney inner medulla collecting duct principal cell', 'thick ascending limb of loop of Henle', 'kidney inner medulla collecting duct', 'distal convoluted tubule', 'kidney distal convoluted tubule epithelial cell', 'kidney connecting tubule epithelial cell', 'kidney afferent arteriole endothelial cell', 'descending thin limb', 'efferent arteriole endothelial cell', 'proximal convoluted tubule segment 1', 'cortical collecting duct', 'macula densa epithelial cell', 'kidney outer medulla collecting duct principal cell', 'kidney cortex collecting duct principal cell', 'kidney loop of Henle thin ascending limb epithelial cell', 'peritubular capillary endothelial cell', 'kidney loop of Henle thick ascending limb epithelial cell', 'vasa recta ascending limb cell', 'podocyte', 'epithelial cell of proximal tubule segment 1', 'loop of Henle ascending limb thin segment', 'epithelial cell of proximal tubule', 'vasa recta descending limb cell', 'parietal epithelial cell', 'kidney outer medulla collecting duct intercalated cell', 'kidney loop of Henle thin descending limb epithelial cell', 'proximal straight tubule', 'proximal convoluted tubule segment 2', 'glomerular mesangial cell', 'kidney collecting duct beta-intercalated cell', 'kidney collecting duct alpha-intercalated cell', 'renal connecting tubule', 'glomerular capillary endothelial cell', 'Renal Corpuscle']"
Large Intestine,"['neuroendocrine cell', 'large intestine crypt goblet cell', 'intestinal tuft cell', 'intestinal crypt stem cell of large intestine', 'enterocyte of epithelium of large intestine']"
Liver,"['blood vessel smooth muscle cell', 'hepatocyte', 'vein endothelial cell', 'Kupffer Cell', 'hepatic stellate cell', 'hepatic portal fibroblast', 'endothelial cell of hepatic sinusoid', 'columnar/cuboidal epithelial cell', 'stratified cuboidal epithelial cell', 'endothelial cell of artery', 'Hepatic oval stem cell']"
Lung,"['secondary crest myofibroblast', 'alveolar capillary type 1 endothelial cell', 'myoepithelial cell of bronchus submucosal gland', 'type I pneumocyte', 'serous secreting cell of bronchus submucosal gland', 'airway submucosal gland collecting duct epithelial cell', 'type II pneumocyte', 'mucus secreting cell of bronchus submucosal gland', 'airway submucosal gland duct ciliated cell', 'lung pericyte', 'alveolar type 1 fibroblast cell', 'airway submucosal gland duct basal cell']"
Pancreas,"['pancreatic goblet cell', nan, 'pancreatic D cell', 'pancreatic PP cell', 'capillary endothelial cell', 'type B pancreatic cell', 'epithelial cell of exocrine pancreas', 'pancreatic centro-acinar cell', 'intercalated duct of pancreas', 'pancreatic acinar cell', 'pancreatic acinus', 'macrophage', 'pancreatic A cell']"
Prostate,"['pericyte', nan, 'fibroblast of subepithelial connective tissue of prostatic gland', 'fibroblast of connective tissue of prostate', 'luminal cell of prostate epithelium', 'vascular associated smooth muscle cell', 'basal cell of prostate epithelium', 'smooth muscle cell of prostate']"
Skin,"['endothelial cell', 'Merkel cell', 'basal cell', 'epidermal Langerhans cell', 'melanocyte of skin', 'skin fibroblast', 'prickle cell']"
Small Intestine,"['mast cell', 'fibroblast', 'endocrine cell', 'natural killer cell', 'myofibroblast', 'neutrophil', 'tuft cell of small intestine', 'B cell', 'dendritic cell', 'jejunal goblet cell', 'innate lymphoid cell', 'duodenal goblet cell', 'ileal goblet cell', 'plasma cell', 'eosinophil', 'enterocyte']"
Spleen,"['CD14-positive, CD16-low monocyte', 'plasmablast', 'hematopoetic stem cell', 'splenic white pulp macrophage', nan, 'splenic endothelial cell', 'follicular dendritic cell', 'dendritic cell, human', 'neutrophil', 'reticular cell of splenic sinusoid', 'splenic marginal zone macrophage', 'stromal cell', 'smooth muscle cell', 'splenic red pulp macrophage', 'splenic tingible body macrophage', 'reticular cell of splenic cord']"
Thymus,"['memory B cell', nan, 'blood vessel endothelial cell', 'medullary thymic epithelial cell type 1', ""Hassall's corpuscle"", 'naive B cell', 'corticomedullary thymic epithelial cell', 'thymic medullary macrophage', 'T cell', 'leukocyte', 'beige adipocyte', 'subcapsular cortical epithelial cell', 'double-positive, alpha-beta thymocyte', 'thymic cortical macrophage', 'thymic plasmacytoid dendritic cell', 'thymus subcapsular epithelium']"
