donor_race
Unknown Race
White
European
African
South Asian
East Asian
Asian
Hispanic or Latin American
"Native American,Hispanic or Latin American"
Greater Middle Eastern  (Middle Eastern or North African or Persian)
African American
Pacific Islander
Han Chinese
British
Irish
Bangladeshi
"European,Asian"
American
Native American
Oceanian
Jewish Israeli
Finnish
Chinese
Japanese
Korean
Singaporean Chinese
Singaporean Malay
Singaporean Indian
African American or Afro-Caribbean
Black or African American
Unknown
