Organ,Organ_ID,FTU Label in Uberon,FTU ID in Uberon,CL_ID,CT Label,azimuth,celltypist,popv,Organ_Cell_Type
Liver,UBERON_0002107,Liver Lobule,UBERON:0004647,CL:0019018,blood vessel smooth muscle cell,False,False,False,Liver - blood vessel smooth muscle cell
Liver,UBERON_0002107,Liver Lobule,UBERON:0004647,CL:1000413,endothelial cell of artery,False,False,False,Liver - endothelial cell of artery
Liver,UBERON_0002107,Liver Lobule,UBERON:0004647,CL:0000241,stratified cuboidal epithelial cell,False,False,False,Liver - stratified cuboidal epithelial cell
Liver,UBERON_0002107,Liver Lobule,UBERON:0004647,CL:0000075,columnar/cuboidal epithelial cell,False,False,False,Liver - columnar/cuboidal epithelial cell
Liver,UBERON_0002107,Liver Lobule,UBERON:0004647,CL:0002543,vein endothelial cell,False,False,False,Liver - vein endothelial cell
Liver,UBERON_0002107,Liver Lobule,UBERON:0004647,CL:0002196,Hepatic oval stem cell,False,False,False,Liver - Hepatic oval stem cell
Liver,UBERON_0002107,Liver Lobule,UBERON:0004647,CL:1000398,endothelial cell of hepatic sinusoid,True,False,True,Liver - endothelial cell of hepatic sinusoid
Liver,UBERON_0002107,Liver Lobule,UBERON:0004647,CL:0000632,hepatic stellate cell,True,True,False,Liver - hepatic stellate cell
Liver,UBERON_0002107,Liver Lobule,UBERON:0004647,CL:0000091,Kupffer Cell,False,False,False,Liver - Kupffer Cell
Liver,UBERON_0002107,Liver Lobule,UBERON:0004647,CL:0000182,hepatocyte,True,True,True,Liver - hepatocyte
Lung,UBERON_0002048,Bronchial Submucosal Gland,UBERON:8410043,CL:4033055,airway submucosal gland duct ciliated cell,False,False,False,Lung - airway submucosal gland duct ciliated cell
Lung,UBERON_0002048,Bronchial Submucosal Gland,UBERON:8410043,CL:4033024,airway submucosal gland duct basal cell,False,False,False,Lung - airway submucosal gland duct basal cell
Lung,UBERON_0002048,Bronchial Submucosal Gland,UBERON:8410043,CL:4033022,mucus secreting cell of bronchus submucosal gland,True,True,False,Lung - mucus secreting cell of bronchus submucosal gland
Lung,UBERON_0002048,Bronchial Submucosal Gland,UBERON:8410043,CL:4033023,airway submucosal gland collecting duct epithelial cell,True,True,False,Lung - airway submucosal gland collecting duct epithelial cell
Lung,UBERON_0002048,Bronchial Submucosal Gland,UBERON:8410043,CL:4033005,serous secreting cell of bronchus submucosal gland,True,True,False,Lung - serous secreting cell of bronchus submucosal gland
Lung,UBERON_0002048,Bronchial Submucosal Gland,UBERON:8410043,CL:4033003,myoepithelial cell of bronchus submucosal gland,False,False,False,Lung - myoepithelial cell of bronchus submucosal gland
Lung,UBERON_0002048,Alveolus of Lung,UBERON:0002299,CL:0002063,type II pneumocyte,True,True,True,Lung - type II pneumocyte
Lung,UBERON_0002048,Alveolus of Lung,UBERON:0002299,CL:0009089,lung pericyte,True,False,False,Lung - lung pericyte
Lung,UBERON_0002048,Alveolus of Lung,UBERON:0002299,CL:0002062,type I pneumocyte,True,True,True,Lung - type I pneumocyte
Lung,UBERON_0002048,Alveolus of Lung,UBERON:0002299,CL:4028004,alveolar type 1 fibroblast cell,True,True,False,Lung - alveolar type 1 fibroblast cell
Lung,UBERON_0002048,Alveolus of Lung,UBERON:0002299,CL:4033016,secondary crest myofibroblast,False,False,False,Lung - secondary crest myofibroblast
Lung,UBERON_0002048,Alveolus of Lung,UBERON:0002299,CL:4028002,alveolar capillary type 1 endothelial cell,True,False,False,Lung - alveolar capillary type 1 endothelial cell
Pancreas,UBERON_0001264,Intercalated Duct,UBERON:0014726,CL:1001433,epithelial cell of exocrine pancreas,False,False,False,Pancreas - epithelial cell of exocrine pancreas
Pancreas,UBERON_0001264,Intercalated Duct,UBERON:0014726,CL:0002080,pancreatic centro-acinar cell,False,False,False,Pancreas - pancreatic centro-acinar cell
Pancreas,UBERON_0001264,Acinus,UBERON:0001263,CL:0002064,pancreatic acinar cell,True,True,True,Pancreas - pancreatic acinar cell
Pancreas,UBERON_0001264,Acinus,UBERON:0001263,CL:1000322,pancreatic goblet cell,False,False,False,Pancreas - pancreatic goblet cell
Pancreas,UBERON_0001264,Acinus,UBERON:0001263,CL:1001433,epithelial cell of exocrine pancreas,False,False,False,Pancreas - epithelial cell of exocrine pancreas
Pancreas,UBERON_0001264,Acinus,UBERON:0001263,CL:0002080,pancreatic centro-acinar cell,False,False,False,Pancreas - pancreatic centro-acinar cell
Pancreas,UBERON_0001264,Islet of Langerhans,UBERON:0000006,CL:0000171,pancreatic A cell,True,True,True,Pancreas - pancreatic A cell
Pancreas,UBERON_0001264,Islet of Langerhans,UBERON:0000006,CL:0000169,type B pancreatic cell,True,True,True,Pancreas - type B pancreatic cell
Pancreas,UBERON_0001264,Islet of Langerhans,UBERON:0000006,CL:0000173,pancreatic D cell,True,True,False,Pancreas - pancreatic D cell
Pancreas,UBERON_0001264,Islet of Langerhans,UBERON:0000006,CL:0002275,pancreatic PP cell,True,True,True,Pancreas - pancreatic PP cell
Pancreas,UBERON_0001264,Islet of Langerhans,UBERON:0000006,CL:0002144,capillary endothelial cell,False,False,False,Pancreas - capillary endothelial cell
Pancreas,UBERON_0001264,Islet of Langerhans,UBERON:0000006,CL:0000235,macrophage,False,True,False,Pancreas - macrophage
Prostate,UBERON_0002367,Prostate Glandular Acinus,UBERON:0004179,CL:1000301,fibroblast of subepithelial connective tissue of prostatic gland,False,False,False,Prostate - fibroblast of subepithelial connective tissue of prostatic gland
Prostate,UBERON_0002367,Prostate Glandular Acinus,UBERON:0004179,CL:1000487,smooth muscle cell of prostate,False,False,False,Prostate - smooth muscle cell of prostate
Prostate,UBERON_0002367,Prostate Glandular Acinus,UBERON:0004179,CL:1000299,fibroblast of connective tissue of prostate,False,False,False,Prostate - fibroblast of connective tissue of prostate
Prostate,UBERON_0002367,Prostate Glandular Acinus,UBERON:0004179,CL:0002340,luminal cell of prostate epithelium,False,False,True,Prostate - luminal cell of prostate epithelium
Prostate,UBERON_0002367,Prostate Glandular Acinus,UBERON:0004179,CL:0002341,basal cell of prostate epithelium,False,False,True,Prostate - basal cell of prostate epithelium
Prostate,UBERON_0002367,Prostate Glandular Acinus,UBERON:0004179,CL:0000359,vascular associated smooth muscle cell,False,False,False,Prostate - vascular associated smooth muscle cell
Prostate,UBERON_0002367,Prostate Glandular Acinus,UBERON:0004179,CL:0000669,pericyte,False,False,False,Prostate - pericyte
Skin,UBERON_0002097,Dermal Papilla,UBERON:0001992,CL:0002620,skin fibroblast,False,False,False,Skin - skin fibroblast
Skin,UBERON_0002097,Dermal Papilla,UBERON:0001992,CL:0000115,endothelial cell,False,False,True,Skin - endothelial cell
Skin,UBERON_0002097,Epidermal Ridge,UBERON:0013487,CL:0000649,prickle cell,False,False,False,Skin - prickle cell
Skin,UBERON_0002097,Epidermal Ridge,UBERON:0013487,CL:0002457,epidermal Langerhans cell,False,True,False,Skin - epidermal Langerhans cell
Skin,UBERON_0002097,Epidermal Ridge,UBERON:0013487,CL:0000646,basal cell,False,False,False,Skin - basal cell
Skin,UBERON_0002097,Epidermal Ridge,UBERON:0013487,CL:0000242,Merkel cell,False,False,False,Skin - Merkel cell
Skin,UBERON_0002097,Epidermal Ridge,UBERON:0013487,CL:1000458,melanocyte of skin,False,True,False,Skin - melanocyte of skin
Small Intestine,UBERON_0002108,Villus,UBERON:0001213,CL:0000623,natural killer cell,False,False,False,Small Intestine - natural killer cell
Small Intestine,UBERON_0002108,Villus,UBERON:0001213,CL:0000057,fibroblast,False,False,True,Small Intestine - fibroblast
Small Intestine,UBERON_0002108,Villus,UBERON:0001213,CL:0009080,tuft cell of small intestine,False,False,True,Small Intestine - tuft cell of small intestine
Small Intestine,UBERON_0002108,Villus,UBERON:0001213,CL:0000584,enterocyte,False,False,False,Small Intestine - enterocyte
Small Intestine,UBERON_0002108,Villus,UBERON:0001213,CL:0000097,mast cell,False,False,True,Small Intestine - mast cell
Small Intestine,UBERON_0002108,Villus,UBERON:0001213,CL:1000324,duodenal goblet cell,False,False,False,Small Intestine - duodenal goblet cell
Small Intestine,UBERON_0002108,Villus,UBERON:0001213,CL:1000326,ileal goblet cell,False,False,False,Small Intestine - ileal goblet cell
Small Intestine,UBERON_0002108,Villus,UBERON:0001213,CL:1000325,jejunal goblet cell,False,False,False,Small Intestine - jejunal goblet cell
Small Intestine,UBERON_0002108,Villus,UBERON:0001213,CL:0000186,myofibroblast,False,False,False,Small Intestine - myofibroblast
Small Intestine,UBERON_0002108,Villus,UBERON:0001213,CL:0000786,plasma cell,False,False,True,Small Intestine - plasma cell
Small Intestine,UBERON_0002108,Villus,UBERON:0001213,CL:0000451,dendritic cell,False,False,False,Small Intestine - dendritic cell
Small Intestine,UBERON_0002108,Villus,UBERON:0001213,CL:0000236,B cell,False,False,True,Small Intestine - B cell
Small Intestine,UBERON_0002108,Villus,UBERON:0001213,CL:0000771,eosinophil,False,False,False,Small Intestine - eosinophil
Small Intestine,UBERON_0002108,Villus,UBERON:0001213,CL:0001065,innate lymphoid cell,False,False,False,Small Intestine - innate lymphoid cell
Small Intestine,UBERON_0002108,Villus,UBERON:0001213,CL:0000163,endocrine cell,False,False,False,Small Intestine - endocrine cell
Small Intestine,UBERON_0002108,Villus,UBERON:0001213,CL:0000775,neutrophil,False,False,True,Small Intestine - neutrophil
Spleen,UBERON_0002106,Red Pulp,UBERON:0001250,CL:0001055,"CD14-positive, CD16-low monocyte",False,False,False,"Spleen - CD14-positive, CD16-low monocyte"
Spleen,UBERON_0002106,Red Pulp,UBERON:0001250,CL:0000442,follicular dendritic cell,False,False,False,Spleen - follicular dendritic cell
Spleen,UBERON_0002106,Red Pulp,UBERON:0001250,CL:0000980,plasmablast,False,True,False,Spleen - plasmablast
Spleen,UBERON_0002106,Red Pulp,UBERON:0001250,CL:0000775,neutrophil,False,True,True,Spleen - neutrophil
Spleen,UBERON_0002106,Red Pulp,UBERON:0001250,CL:0000877,splenic tingible body macrophage,False,False,False,Spleen - splenic tingible body macrophage
Spleen,UBERON_0002106,Red Pulp,UBERON:0001250,CL:0000872,splenic marginal zone macrophage,False,False,False,Spleen - splenic marginal zone macrophage
Spleen,UBERON_0002106,Red Pulp,UBERON:0001250,CL:0000874,splenic red pulp macrophage,False,False,False,Spleen - splenic red pulp macrophage
Spleen,UBERON_0002106,Red Pulp,UBERON:0001250,CL:0001056,"dendritic cell, human",False,True,False,"Spleen - dendritic cell, human"
Spleen,UBERON_0002106,Red Pulp,UBERON:0001250,CL:0000037,hematopoetic stem cell,False,False,True,Spleen - hematopoetic stem cell
Spleen,UBERON_0002106,White Pulp,UBERON:0001959,CL:0000876,splenic white pulp macrophage,False,False,False,Spleen - splenic white pulp macrophage
Spleen,UBERON_0002106,White Pulp,UBERON:0001959,CL:0000192,smooth muscle cell,False,False,False,Spleen - smooth muscle cell
Spleen,UBERON_0002106,White Pulp,UBERON:0001959,CL:2000053,splenic endothelial cell,False,False,False,Spleen - splenic endothelial cell
Spleen,UBERON_0002106,White Pulp,UBERON:0001959,CL:0000499,stromal cell,False,False,False,Spleen - stromal cell
Spleen,UBERON_0002106,White Pulp,UBERON:0001959,CL:1000489,reticular cell of splenic cord,False,False,False,Spleen - reticular cell of splenic cord
Spleen,UBERON_0002106,White Pulp,UBERON:0001959,CL:0001055,"CD14-positive, CD16-low monocyte",False,False,False,"Spleen - CD14-positive, CD16-low monocyte"
Spleen,UBERON_0002106,White Pulp,UBERON:0001959,CL:0000442,follicular dendritic cell,False,False,False,Spleen - follicular dendritic cell
Spleen,UBERON_0002106,White Pulp,UBERON:0001959,CL:0000980,plasmablast,False,True,False,Spleen - plasmablast
Spleen,UBERON_0002106,White Pulp,UBERON:0001959,CL:0000775,neutrophil,False,True,True,Spleen - neutrophil
Thymus,UBERON_0002370,Thymus Lobule,UBERON:0002125,CL:0000809,"double-positive, alpha-beta thymocyte",False,False,False,"Thymus - double-positive, alpha-beta thymocyte"
Thymus,UBERON_0002370,Thymus Lobule,UBERON:0002125,CL:0000942,thymic plasmacytoid dendritic cell,False,False,False,Thymus - thymic plasmacytoid dendritic cell
Thymus,UBERON_0002370,Thymus Lobule,UBERON:0002125,CL:0000071,blood vessel endothelial cell,False,False,False,Thymus - blood vessel endothelial cell
Thymus,UBERON_0002370,Thymus Lobule,UBERON:0002125,CL:0000883,thymic cortical macrophage,False,False,False,Thymus - thymic cortical macrophage
Thymus,UBERON_0002370,Thymus Lobule,UBERON:0002125,CL:0009077,subcapsular cortical epithelial cell,False,False,False,Thymus - subcapsular cortical epithelial cell
Thymus,UBERON_0002370,Thymus Lobule,UBERON:0002125,CL:0001070,beige adipocyte,False,False,False,Thymus - beige adipocyte
Thymus,UBERON_0002370,Thymus Lobule,UBERON:0002125,CL:0000084,T cell,False,False,False,Thymus - T cell
Thymus,UBERON_0002370,Thymus Lobule,UBERON:0002125,CL:0009071,medullary thymic epithelial cell type 1,False,False,False,Thymus - medullary thymic epithelial cell type 1
Thymus,UBERON_0002370,Thymus Lobule,UBERON:0002125,CL:0000787,memory B cell,False,False,False,Thymus - memory B cell
Thymus,UBERON_0002370,Thymus Lobule,UBERON:0002125,CL:0009070,corticomedullary thymic epithelial cell,False,False,False,Thymus - corticomedullary thymic epithelial cell
Thymus,UBERON_0002370,Thymus Lobule,UBERON:0002125,CL:0000738,leukocyte,False,False,False,Thymus - leukocyte
Thymus,UBERON_0002370,Thymus Lobule,UBERON:0002125,CL:0000882,thymic medullary macrophage,False,False,False,Thymus - thymic medullary macrophage
Thymus,UBERON_0002370,Thymus Lobule,UBERON:0002125,CL:0000788,naive B cell,False,False,False,Thymus - naive B cell
