Organ,Organ_ID,FTU Label in Uberon,FTU ID in Uberon,CL_ID,CT Label,azimuth,celltypist,popv,Organ_Cell_Type
Kidney,UBERON_0002113,Cortical Collecting Duct,UBERON:0004203,CL:4030021,kidney collecting duct beta-intercalated cell,False,False,False,Kidney - kidney collecting duct beta-intercalated cell
Kidney,UBERON_0002113,Cortical Collecting Duct,UBERON:0004203,CL:4030020,kidney collecting duct alpha-intercalated cell,True,False,False,Kidney - kidney collecting duct alpha-intercalated cell
Kidney,UBERON_0002113,Cortical Collecting Duct,UBERON:0004203,CL:1001033,peritubular capillary endothelial cell,True,True,False,Kidney - peritubular capillary endothelial cell
Kidney,UBERON_0002113,Cortical Collecting Duct,UBERON:0004203,CL:1000714,kidney cortex collecting duct principal cell,True,False,False,Kidney - kidney cortex collecting duct principal cell
Kidney,UBERON_0002113,Outer Medullary Collecting Duct,UBERON:0004204,CL:1000717,kidney outer medulla collecting duct intercalated cell,True,False,False,Kidney - kidney outer medulla collecting duct intercalated cell
Kidney,UBERON_0002113,Outer Medullary Collecting Duct,UBERON:0004204,CL:1000716,kidney outer medulla collecting duct principal cell,True,False,False,Kidney - kidney outer medulla collecting duct principal cell
Kidney,UBERON_0002113,Outer Medullary Collecting Duct,UBERON:0004204,CL:1001033,peritubular capillary endothelial cell,True,True,False,Kidney - peritubular capillary endothelial cell
Kidney,UBERON_0002113,Inner Medullary Collecting Duct,UBERON:0004204,CL:1000718,kidney inner medulla collecting duct principal cell,True,False,False,Kidney - kidney inner medulla collecting duct principal cell
Kidney,UBERON_0002113,Inner Medullary Collecting Duct,UBERON:0004205,CL:1001033,peritubular capillary endothelial cell,True,True,False,Kidney - peritubular capillary endothelial cell
Kidney,UBERON_0002113,Thick Ascending Limb Of Loop Of Henle,UBERON:0001291,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,True,True,False,Kidney - kidney loop of Henle thick ascending limb epithelial cell
Kidney,UBERON_0002113,Thick Ascending Limb Of Loop Of Henle,UBERON:0001291,CL:1001033,peritubular capillary endothelial cell,True,True,False,Kidney - peritubular capillary endothelial cell
Kidney,UBERON_0002113,Descending Limb of Loop of Henle,UBERON:0001289,CL:1001111,kidney loop of Henle thin descending limb epithelial cell,True,True,False,Kidney - kidney loop of Henle thin descending limb epithelial cell
Kidney,UBERON_0002113,Descending Limb of Loop of Henle,UBERON:0001289,CL:1001285,vasa recta descending limb cell,True,True,False,Kidney - vasa recta descending limb cell
Kidney,UBERON_0002113,Loop Of Henle Ascending Limb Thin Segment,UBERON:0004193,CL:1001107,kidney loop of Henle thin ascending limb epithelial cell,True,True,False,Kidney - kidney loop of Henle thin ascending limb epithelial cell
Kidney,UBERON_0002113,Loop Of Henle Ascending Limb Thin Segment,UBERON:0004193,CL:1001131,vasa recta ascending limb cell,True,True,False,Kidney - vasa recta ascending limb cell
Kidney,UBERON_0002113,Nephron,UBERON:0001291,CL:4030009,epithelial cell of proximal tubule segment 1,True,False,False,Kidney - epithelial cell of proximal tubule segment 1
Kidney,UBERON_0002113,Nephron,UBERON:0001291,CL:1000849,kidney distal convoluted tubule epithelial cell,True,True,False,Kidney - kidney distal convoluted tubule epithelial cell
Kidney,UBERON_0002113,Nephron,UBERON:0001291,CL:1000768,kidney connecting tubule epithelial cell,True,True,False,Kidney - kidney connecting tubule epithelial cell
Kidney,UBERON_0002113,Nephron,UBERON:0001291,CL:1000850,macula densa epithelial cell,True,False,False,Kidney - macula densa epithelial cell
Kidney,UBERON_0002113,Nephron,UBERON:0001291,CL:1000718,kidney inner medulla collecting duct,True,False,False,Kidney - kidney inner medulla collecting duct
Kidney,UBERON_0002113,Nephron,UBERON:0001291,CL:1001107,kidney loop of Henle thin ascending limb epithelial cell,True,True,False,Kidney - kidney loop of Henle thin ascending limb epithelial cell
Kidney,UBERON_0002113,Nephron,UBERON:0001291,CL:1001111,kidney loop of Henle thin descending limb epithelial cell,True,True,False,Kidney - kidney loop of Henle thin descending limb epithelial cell
Kidney,UBERON_0002113,Nephron,UBERON:0001291,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,True,True,False,Kidney - kidney loop of Henle thick ascending limb epithelial cell
Kidney,UBERON_0002113,Nephron,UBERON:0001291,CL:1000714,kidney cortex collecting duct principal cell,True,False,False,Kidney - kidney cortex collecting duct principal cell
Kidney,UBERON_0002113,Nephron,UBERON:0001291,CL:1000716,kidney outer medulla collecting duct principal cell,True,False,False,Kidney - kidney outer medulla collecting duct principal cell
Kidney,UBERON_0002113,Renal Corpuscle,UBERON:0001229,CL:1000742,glomerular mesangial cell,False,False,False,Kidney - glomerular mesangial cell
Kidney,UBERON_0002113,Renal Corpuscle,UBERON:0001229,CL:0000653,podocyte,True,True,False,Kidney - podocyte
Kidney,UBERON_0002113,Renal Corpuscle,UBERON:0001229,CL:0002306,epithelial cell of proximal tubule,True,True,False,Kidney - epithelial cell of proximal tubule
Kidney,UBERON_0002113,Renal Corpuscle,UBERON:0001229,CL:1001005,glomerular capillary endothelial cell,True,True,False,Kidney - glomerular capillary endothelial cell
Kidney,UBERON_0002113,Renal Corpuscle,UBERON:0001229,CL:1001099,efferent arteriole endothelial cell,False,False,False,Kidney - efferent arteriole endothelial cell
Kidney,UBERON_0002113,Renal Corpuscle,UBERON:0001229,CL:1000452,parietal epithelial cell,True,True,False,Kidney - parietal epithelial cell
Kidney,UBERON_0002113,Renal Corpuscle,UBERON:0001229,CL:1001096,kidney afferent arteriole endothelial cell,False,False,False,Kidney - kidney afferent arteriole endothelial cell
Kidney,UBERON_0002113,Renal Corpuscle,UBERON:0001229,CL:1000850,macula densa epithelial cell,True,False,False,Kidney - macula densa epithelial cell
Large Intestine,UBERON_0000059,Crypt Of Lieberkuhn,UBERON:0001984,CL:1000321,large intestine crypt goblet cell,False,False,False,Large Intestine - large intestine crypt goblet cell
Large Intestine,UBERON_0000059,Crypt Of Lieberkuhn,UBERON:0001984,CL:0002071,enterocyte of epithelium of large intestine,False,False,True,Large Intestine - enterocyte of epithelium of large intestine
Large Intestine,UBERON_0000059,Crypt Of Lieberkuhn,UBERON:0001984,CL:0000165,neuroendocrine cell,False,False,False,Large Intestine - neuroendocrine cell
Large Intestine,UBERON_0000059,Crypt Of Lieberkuhn,UBERON:0001984,CL:0009016,intestinal crypt stem cell of large intestine,False,False,True,Large Intestine - intestinal crypt stem cell of large intestine
Large Intestine,UBERON_0000059,Crypt Of Lieberkuhn,UBERON:0001984,CL:0019032,intestinal tuft cell,False,False,True,Large Intestine - intestinal tuft cell
Liver,UBERON_0002107,Liver Lobule,UBERON:0004647,CL:0009100,hepatic portal fibroblast,True,False,False,Liver - hepatic portal fibroblast
