Organ	Organ_ID	FTU Label in Uberon	FTU ID in Uberon	CT Label in CL	CT ID in CL	CT Label in 2D Object
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Nephron	UBERON:0001291	distal convoluted tubule	UBERON:0001292	Distal Convulated Tubule
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Nephron	UBERON:0001291	kidney distal convoluted tubule epithelial cell	CL:1000849	Distal Convulated Tubule
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Nephron	UBERON:0001291	renal connecting tubule	UBERON:0005097	Connecting Tubule
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Nephron	UBERON:0001291	kidney connecting tubule epithelial cell	CL:1000768	Connecting Tubule
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Nephron	UBERON:0001291	macula densa epithelial cell	CL:1000850	Macula Densa
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Nephron	UBERON:0001291	thick ascending limb of loop of Henle	UBERON:0001291	Thick Ascending Limb Of Loop Of Henle
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Nephron	UBERON:0001291	loop of Henle ascending limb thin segment	UBERON:0004193	Ascending Thin Limb Of Loop Of Henle
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Nephron	UBERON:0001291	descending thin limb	UBERON:0005096	Descending Thin Limb Of Loop Of Henle
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Nephron	UBERON:0001291	kidney inner medulla collecting duct	CL:1000718	Collecting Duct
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Nephron	UBERON:0001291	Renal Corpuscle	UBERON:0001229	Renal Corpuscle
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Nephron	UBERON:0001291	kidney loop of Henle thin ascending limb epithelial cell	CL:1001107	Ascending Thin Limb Of Loop Of Henle Cell
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Nephron	UBERON:0001291	kidney loop of Henle thin descending limb epithelial cell	CL:1001111	Descending Thin Limb Of Loop Of Henle Cell
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Nephron	UBERON:0001291	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106	Thick Ascending Limb Of Loop Of Henle Cell
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Nephron	UBERON:0001291	kidney cortex collecting duct principal cell	CL:1000714	Cortical Collecting Duct Principal Cell
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Nephron	UBERON:0001291	kidney outer medulla collecting duct principal cell	CL:1000716	Outer Medullary Collecting Duct Principal Cell
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Renal Corpuscle	UBERON:0001229	glomerular mesangial cell	CL:1000742	Glomerular Mesangial Cell
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Renal Corpuscle	UBERON:0001229	podocyte	CL:0000653	Glomerular Visceral Epithelial Cell
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Renal Corpuscle	UBERON:0001229	epithelial cell of proximal tubule	CL:0002306	Epithelial Cell Proximal Tubule
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Renal Corpuscle	UBERON:0001229	glomerular capillary endothelial cell	CL:1001005	Glomerular Capillary Endothelial Cell
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Renal Corpuscle	UBERON:0001229	efferent arteriole endothelial cell	CL:1001099	Efferent Arteriole Endothelial Cell
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Renal Corpuscle	UBERON:0001229	parietal epithelial cell	CL:1000452	Parietal Epithelial Cell
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Renal Corpuscle	UBERON:0001229	kidney afferent arteriole endothelial cell	CL:1001096	Afferent Arteriole Endothelial Cell
Kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Renal Corpuscle	UBERON:0001229	macula densa epithelial cell	CL:1000850	Macula Densa Epithelial Cell
