organ_name,organ_name_in_FTU,FTU_name,cell_id,cell_label,organ_id,ensembl_id,mean_expr_value
Kidney,Kidney,Thick Ascending Loop Of Henle,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000130300.9,5.059016227722168
Kidney,Kidney,Thick Ascending Loop Of Henle,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000169744.13,40.209354400634766
Kidney,Kidney,Thick Ascending Loop Of Henle,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000072163.20,4.431147575378418
Kidney,Kidney,Thick Ascending Loop Of Henle,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000150625.16,13.383241653442383
Kidney,Kidney,Thick Ascending Loop Of Henle,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000251322.9,3.6836063861846924
Kidney,Kidney,Thick Ascending Loop Of Henle,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000215386.13,24.393909454345703
Kidney,Kidney,Thick Ascending Loop Of Henle,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000148516.21,10.007331848144531
Kidney,Kidney,Thick Ascending Loop Of Henle,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000027075.15,7.280214786529541
Kidney,Kidney,Thick Ascending Loop Of Henle,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000134138.20,23.595352172851562
Kidney,Kidney,Thick Ascending Loop Of Henle,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000106991.14,5.208196640014648
Kidney,Kidney,Thick Ascending Loop Of Henle,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000150625.16,6.255328178405762
Kidney,Kidney,Thick Ascending Loop Of Henle,CL:1001131,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/UBERON_0002113,ENSG00000169744.13,18.656570434570312
